"Date","Primary_Bird","Video_Num","Subject","Behavior","Modifiers","Vid_occurrences","Vid_duration","Vid_visible","Day_visible","Day_occurrences","Day_duration","Rate_per_min_vid","Rate_per_min_day","Percent_time_visible_vid","Percent_time_visible_day"
2025-06-10,"C","3","No focal subject","Unclear video","",1,12.144,NA,NA,71,422.483,NA,NA,NA,NA
2025-06-10,"C","3","Other crow #1","Feed","Auto-|Successful|None",1,NA,48.4,2006.035,31,NA,1.2396694214876,0.92720216745969,NA,NA
2025-06-10,"C","3","Other crow #1","Foraging","",1,48.4,48.4,2006.035,78,1611.199,NA,NA,100,80.3175916671444
2025-06-10,"C","4","No focal subject","Close proximity","Other crow #1|Broken beak",2,42.24,NA,NA,8,209.84,NA,NA,NA,NA
2025-06-10,"C","4","No focal subject","Close proximity","Mutual|Mutual",2,5.64,NA,NA,17,294.558,NA,NA,NA,NA
2025-06-10,"C","4","No focal subject","Close proximity","Broken beak|Other crow #1",2,17.48,NA,NA,5,72.04,NA,NA,NA,NA
2025-06-10,"C","4","No focal subject","Begging session","Broken beak,Other crow #1",1,24.16,NA,NA,2,46.04,NA,NA,NA,NA
2025-06-10,"C","4","No focal subject","Unclear video","",23,98.259,NA,NA,71,422.483,NA,NA,NA,NA
2025-06-10,"C","4","Broken beak","Feed","Auto-|Unknown|None",7,NA,62.48,1741.873,89,NA,6.72215108834827,3.06566552211327,NA,NA
2025-06-10,"C","4","Broken beak","Feed","Auto-|Unsuccessful|None",2,NA,62.48,1741.873,63,NA,1.92061459667093,2.17007784149591,NA,NA
2025-06-10,"C","4","Broken beak","Foraging","",7,38.32,62.48,1741.873,63,1597.954,NA,NA,61.3316261203585,91.7376869611045
2025-06-10,"C","4","Broken beak","Beg call","",1,NA,62.48,1741.873,6,NA,0.960307298335467,0.206674080142467,NA,NA
2025-06-10,"C","4","Broken beak","Wing flutter","",13,NA,62.48,1741.873,29,NA,12.4839948783611,0.998924720688592,NA,NA
2025-06-10,"C","4","Broken beak","Open mouth","",4,NA,62.48,1741.873,10,NA,3.84122919334187,0.344456800237446,NA,NA
